Sentence,Sentiment
I love the new design of the website.,positive
The product arrived late and was damaged.,negative
"The customer service was okay, not great but not terrible either.",neutral
This is the best purchase I've made this year!,positive
I'm not happy with the quality of the product.,negative
The event was well-organized and enjoyable.,positive
I have no strong feelings about this movie.,neutral
The software has many bugs and crashes often.,negative
Excellent performance by the lead actor!,positive
"The meal was average, nothing special.",neutral
